S_1,Tsinghua University
S_2,Peking University
S_3,Wuhan University
S_4,Soochow University
S_5,Sichuan University
S_6,Beijing Institute of Technology
S_7,Beijing Normal University
S_8,National Chiao Tung University
S_9,Jinan University
S_10,University of International Relations
S_11,South China University of Technology
S_12,Northwestern Polytechnical University
S_13,Central South University
S_14,Southeast University
S_15,Qinghai University
S_16,The University of Queensland
S_17,Zhengzhou University
S_18,Liaoning University of International Business
S_19,Shenzhen University
S_20,Nanchang University
S_21,Zhejiang Fashion Institute of Technology
S_22,Ningbo City College of  Vocational Technology
S_23,Shenzhen Institute & Information Technology
S_24,Fudan University
S_28,China Institute of Entrepreneurship
S_29,Zhejiang Financial College
S_30,Huaqiao University
S_31,Xi'an Jiaotong University
S_32,Heilongjiang University
S_33,Guangzhou University of Chinese Medicine
S_34,Tianjin Foreign Studies University
S_35,Nankai University
S_36,Kunming University of Science and Technology
S_37,Harbin Institute of Technology
S_38,China Agricultural University
S_39,Hubei University
S_40,Honghe University
S_46,Ningbo University
S_47,Southwestern University of Finance and Economics
S_48,Chengdu University of Technology
S_49,Shaanxi Polytechnic Institute
S_50,Beijing Language and Culture University
S_51,Wuhan University of Science and Technology
S_52,South-central University For Nationalities
S_53,Zhongnan University of Economics and Law
S_54,Capital Medical University
S_55,Ocean University of China
S_56,People's Public Security University of China
S_57,Massachusetts Institute of Technology
S_58,University of Macau
S_59,Naval Aeronautical University
S_61,Wuhan University of Technology
S_62,Southwest University
S_63,XuetangX
S_64,Hunan University
S_65,Nanjing University
S_66,Jilin University
S_67,China Women's Unlverslty
S_68,Beijing Technology and Business University
S_69,Lanzhou University
S_71,University of Science and Technology of China
S_72,Northeastern University
S_73,Guizhou Institute of Technology
S_74,Jiangxi University of Science And Technology
S_75,"University of California, Berkeley"
S_76,Beijing Jiaotong University
S_77,Henan University of Technology
S_78,Beijing University of Chinese Medicine
S_79,Harbin Engineering University
S_80,Fujian Agriculture and Forestry University
S_82,Huzhou Teachers College
S_83,Xi`an University of Architecture and Technology
S_84,National University of Defense Technology
S_85,The University of Adelaide
S_86,Henan Normal University
S_87,Mianyang Vocational and Technical College
S_88,Tongji University
S_90,Hunan Agricultural University
S_91,Qilu University of Technology
S_92,Shaanxi Normal University
S_93,Xi`an International Studies University
S_94,Chengdu Technological University
S_96,Capital Normal University
S_97,Beijing Sport University
S_98,Dalian Maritime University
S_99,Minzu University of China
S_100,Southern Medical University
S_101,Wenzhou University
S_102,Kunming Medical University
S_103,Communication University of China
S_104,Public Security Fire Force College
S_105,East China University of Science And Technology
S_106,Henan Fire Brigade
S_107,Chongqing University
S_108,Fujian Normal University
S_109,University of Electronic Science And Technology of China
S_110,Institute of Disaster Prevention
S_111,"China University of Petroleum,Beijing"
S_112,Chang’an University
S_113,Yanshan University
S_114,Xianyang Normal University
S_115,East China Normal University
S_116,Zhejiang A & F University
S_117,North China Electric Power University
S_118,Beijing University of Aeronautics and Astronautics
S_119,Renmin University of China
S_120,Southwest Forestry University
S_121,Sichuan Normal University
S_122,National Instruments
S_123,Southwest Petroleum University
S_124,Chengdu University
S_125,Air Force Engineering University
S_126,Hebei Normal University
S_127,Dalian University of Technology
S_128,TianjinUniversity
S_130,Tianjin Medical University
S_131,Ningxia University
S_132,China Pharmaceutical University
S_135,Yunnan University of Bussiness Management
S_136,Hanjang Normal University
S_137,Huazhong University of Science And Technology
S_138,Zhejiang University
S_139,Beijing Forestry University
S_140,Nanjing University of Science and Technology
S_141,Southwest Jiaotong University
S_142,City University of Hong Kong
S_144,Shandong University
S_145,Shen Zhen Polytechnic
S_146,Beijing Union University
S_148,Yunnan University
S_149,Northwest University
S_150,Chongqing College of Electronic Engineering
S_151,Xiamen University
S_152,Inner Mongola Techical College of Construction
S_153,Tianjin University of Finance & Economics
S_154,Huangshi Institute of Technology
S_155,Guangzhou Vocational School of Light Industy
S_156,Zhejiang Gongshang University
S_157,SDG Academy
S_158,University of Burgundy
S_159,Rice University
S_160,Technische Universiteit Delft
S_162,Institut Pasteur
S_163,Chinese Academy of Sciences
S_164,Guangdong University of Technology
S_165,Guangdong University of Finance & Economics
S_166,Inner Mongolia University For The Nationalities
S_167,Dalian Polytechnic University
S_168,Guangzhou University
S_169,Army  Engineering University of PLA
S_170,Qinghai Normal University
S_171,Tongren Unlverslty
S_172,Zhejiang University of Finance & Economics
S_173,Guilin University of Technology
S_174,Xihua University
S_175,Shandong Jianzhu University
S_176,edX
S_177,Qufu Normal University
S_178,Yunnan Normal University
S_179,Jiangsu University
S_180,Zhejiang Institute of communications
S_181,Yunnan Minzu University
S_182,Xiamen University of Technology
S_183,Songshuhui-Association of Science Communicators
S_184,Henan University of Science And Technology
S_185,Shenyang University
S_186,Da-Yeh University
S_187,Chung Yuan Christian University
S_194,Chongqing University of Arts And Science
S_195,Henan Institute of Science and Technology
S_196,Shandong Institute of Commerce and Technology
S_197,Zhejiang Sci-tech University
S_198,Jiangxi Normal University
S_201,Shaanxl Xueqian Normal University
S_202,Dalian Minzu University
S_203,Changsha Social Work College
S_204,Shenyang Jianzhu University
S_205,Changchun University
S_207,Yangling Vocational & Technical College
S_208,Yangzhou University
S_209,Guizhou Medical University
S_210,Xi’an University of Posts&Telecommunications
S_211,Fujian University of Traditional Chinese Medicine
S_212,Instituto Cervantes
S_214,Guangxi University of Science and Technology
S_215,Xingtai University
S_216,"Beijing Institute of Technology,Zhuhai"
S_218,microsoftx
S_219,hiavr
S_220,University of Science and Technology Beijing
S_221,Chengdu University of Traditional Chinese Medicine
S_224,The Central Institute of Socialism
S_225,Beijing University of Civil Engineering and Architecture
S_226,Beijing Dancing Academy
S_227,Qingdao University
S_228,Beijing Institute of Fashion Technology
S_230,Chongqing Three Gorges Medical College
S_231,Zhejiang University of Finance & Economics Dongfang College
S_232,Zhejiang Institute of Mechanical & Electrical Engineering
S_233,Fu Jen Catholic University
S_234,Saint-Petersburg State University
S_235,Hunan University of Science and Technology
S_236,Xi’an University of Science and Technology
S_237,Weifang Vocational College
S_238,China Foreign Affairs University
S_239,Baoji University of Arts And Sciences
S_240,Hainan College of Economics and Business
S_241,Shaanxi Business College
S_242,Chuzhou University
S_244,Northwest Minzu University
S_245,Yanching Institute of Technology
S_246,Xi’an Polytechnic University
S_247,Beijing University of Technology
S_248,ngo20x
S_249,Yunnan Agricultural University
S_251,Liaoning Technical University
S_253,Jiangxi Agricultural University
S_254,Guizhou Vocational Technology Institut
S_255,Shantou University
S_256,Yan'an University
S_259,Officers  College  of PAP
S_260,JiMei University
S_261,Zhejiang University of Science and Technology
S_262,Guizhou University of Traditional Chinese Medicine
S_263,Beijing University of Posts and Telecommunications
S_264,Shihezi University
S_266,Hainan University
S_267,McGill University
S_268,Anhui University
S_269,Shanghai Jiao Tong University
S_270,Hunan Normal University
S_272,Wuhu Institute of Technology
S_273,Xinjiang Agricultural University
S_274,Ningbo University of Finance & Economics
S_275,Xi’an Aeronautical University
S_276,Jinshan college of fujian agriculture and forestry university
S_278,Nanning Normal University
S_280,Chongqing University of Posts and Telecommunications
S_286,Chang’an University
S_287,Dalian University of Technology
S_290,Shanghai Normal University
S_296,Hubei Normal University
S_300,Huazhong Agricultural University
S_302,The Chinese University of Hong Kong
S_303,Wuhan Institute of Technology
S_304,Dalian Medical University
S_305,Wellesley College
S_306,Tianjin University of Technology
S_307,Beijing Institute of Petrochemical Technology
S_313,Yulin University
S_314,Baicheng Normal University
S_316,Beijng College Finance And Commerce
S_318,Hebei Normal University of Science & Technology
S_319,Shaanxi University of Science  Technology
S_322,Xijing University
S_323,North China Institute of Aerospace Engineering
S_324,Guangzhou Medical University
S_325,Jinzhou Medical University
S_328,Wageningen University
S_329,HuBei Three Gorges Polytechnic
S_330,Fujian Medical University
S_332,Hubei Polytechnic Institute
S_333,Zhejiang Ocean University
S_335,Hubei Engineering University
S_336,Xidian University
S_337,Hohhot Vocational College
S_338,Inner Mongolia Arts University
S_339,Yunnan Land And ResourcesVocational College
S_341,National Defence University of People's Liberation Army，NDU、PLA
S_345,Linyi University
S_346,Moutai University
S_347,Southwest University of Science And Technology
S_348,Sun Yat-sen University
S_350,China University of Mining and Technology
S_355,China University of Petroleum
S_362,Harbin Institute of Technology，Shenzhen
S_369,Shanghai Ocean University
S_370,North China University of Science and Technology
S_379,Hefei University of Technology
S_382,Anhui Xinhua University
S_383,Xinjiang University
S_388,South China Agricultural University
S_400,Hunan City University
S_404,Tianjin University of Commerce
S_411,Beijing International Studies University
S_415,Yunnan University of Finance And Economics
S_417,Beijing University of Chemical Technology
S_419,Inner Mongolia Agricultural University
S_426,LanZhou University of Finance and Economics
S_428,Panzhihua University
S_435,Inner Mongolia University
S_442,Peking Union Medical College Hospital
S_451,Commumication University of Shanxi
S_455,Northeast Normal University
S_463,Hebei Agriculture University
S_467,Jincheng College of Sichuan University
S_470,Hebei University of Technology
S_474,Bei Jing college of politics and law
S_475,Dongbei University of Finance And Economics
S_477,Shandong Water Conservancy Vocational College
S_478,East China Jiaotong University
S_479,Shenyang Normal University
S_480,Zhejiang Institute of Economics and Trade
S_481,Xi'an Aeronautical Polytechnic Institute
S_482,Dalian Ocean University
S_483,Hohai University
S_484,Dalian University of Foreign Languages
S_485,Wuhan Institute of Physical Education
S_486,Liaoning University
S_487,China Three Gorges University
S_489,Shanghai University
S_490,Lingnan Normal University
S_491,Hubei University of Science and Technology
S_492,Guangzhou Vocational College of Technology & Business
S_494,Chengde Petroleum College
S_495,Yunnan Arts University
S_497,Zhongyuan University of Technology
S_502,Guangdong Ocean University
S_503,The Open University of Guangdong
S_507,The Hong Kong Academy for Performing Arts
S_511,Musashino Art University
S_512,Central University of Finance and Economics
S_513,Wuhan City Vocational College
S_514,China People’s Police University
S_515,Xi`an Shiyou University
S_534,Shaanxi Institute of Technology
S_535,Tianjin University of Technology and Education
S_536,tencentgroup
S_538,Zhejiang Shuren Univerisity
S_589,Beijing Information Science and Technology University
S_592,Xi'an University of Technology
S_595,Northwest A&F University
S_600,Pusan National University
S_601,Sungkyunkwan University
S_602,Inha University
S_605,Shanxi vocational college of finance and economics
S_609,est
S_611,Inner Mongolia Normal University
S_616,sddxyjsy
S_626,Hebei Normal University of Science & Technology
S_632,Yuxi Normal University
S_637,Tianjin University
S_648,YunchengYouerShifanGaodengZhuankeXuexiao
S_669,Tongchuan vocational and technical college
S_679,Rocket Force University of Engineering
S_685,Shanxi University
S_692,Hangzhou Normal University
S_704,Chinese Academy of Sciences
S_712,Jiangxi Institute of Fashion Technology
S_713,Criminal Investigation Police University of China
S_714,Sichuan College of Traditional Chinese Medicine
S_725,Guiyang Nursing Vocational College
S_734,Xi`an FanYi University
S_749,Guangdong University  of Petrochemical Technology
S_768,Kering
S_780,Inner Mongolia Electronic Information Vocational Technical College
S_791,Chinese Society of Biotechnology
S_793,China Medical University
S_794,Tianjin University of Traditional Chinese Medicine
S_795,Zhengzhou Institute of Technology
S_796,Kunming fire College
S_798,Shanghai Art & Design Academy
S_800,Guizhou University
S_802,Anhui Polytechnic University
S_803,North China University of Water Resources and Electric Power
S_805,"China University of Mining & Technology,Beijing"
S_823,Xi`an Academy of Fine Arts
S_828,Chulalongkorn University
S_850,Shangqiu Normal University
S_856,Anhui medical college
S_857,Inner Mongolia University of Technology
S_858,Guizhou Vocational and Technical College of Economics and Trade
S_859,Northwest University of Political Science and Law
S_860,Weinan Normal University
S_862,Xi'an Siyuan University
S_867,Binzhou Polytechnic
S_868,Jinggangshan University
S_875,Xi'an Technological University
S_877,ZHUHAI COLLEGE OF JILIN UNIVERSITY
S_888,Tianjin University of Finance and Economics Pearl River College
S_892,Yangtze University
S_910,Qi An Xin Group
S_917,Shandong Jiaotong University
S_935,Tiangong University
S_964,Sichuan Conservatory of Music
S_971,Shaanxi University of Chinese Medicine
S_1006,Anhui University of Science and Technology
S_1031,Hebei Normal University for Nationalities
S_1064,Qingdao University of Science and Technology
S_1075,Northwest Normal University
S_1077,China Academy of Industrial Internet
S_1079,World Health Organization
S_1082,Guangdong Pharmaceutical University
S_1084,Shandong University of Traditional Chinese Medicine
S_1085,Bijie Early Childhood Teachers College
S_1086,Baoshan University
S_1087,Henan Institute of Economics and Trade
S_1116,Zhipu AI 
S_1120,North Minzu University
S_1132,Liaoning Agricultural College
S_1139,Langfang Mass Art Museum
S_1190,Shanghai University of International Business and Economics
S_1199,Xuzhou Medical University
S_1205,Harbin University of Commerce
S_1208,didiglobal
S_1214,Eastern Liaoning University
S_1215,Vocational and Technical College OF IMAU
S_1220,Binzhou University
S_1241,zjxb
S_1249,Zhejiang College of Construction
S_1262,Xiangyang Vocational and Technical Collage
S_1270,Dongguk University
S_1281,Humanitarian & Sustainable Development Initiative (HDI)
S_1305,Tourism and Culture College of Yunnan University
S_1306,University of Science and Technology Liaoning
S_1320,HeiLongJiang Agricultural Economy Vocational College
S_1323,Guangzhou Sport University
S_1347,Guizhou Institute of Technology
S_1368,China University of Mining And Technology Yinchuan College
S_1374,Jieyang Polytechnic
S_1377,Ordos ecological environment Vocational College
S_1388,swarma
S_1392,"Beijing Dison Digital Entertainment Co., Ltd. "
S_1402,Kaohsiung Medical University
S_1405,Heilongjiang Agricultural ReclamationVocational College，ARVC
S_1448,Jiangxi University of Finance And Economics
S_1453,GuiZhou Communications Polytechnic
S_1455,Heilongjiang University of Chinese Medicine
